date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:15:39	45616/45616	---M--	200	added ('OK')	font/ttf	date:Sat,%2025%20Nov%202023%2000:47:35%20GMT	https://tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/css/fonts/helvetica_0-webfont.ttf	C:/My%20Web%20Sites/PaginaWeb/tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/css/fonts/helvetica_0-webfont.ttf	(from https://tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=2.8.0)
18:15:39	72185/72185	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Nov%202023%2000:47:35%20GMT	https://tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/css/fonts/helvetica_0-webfont.svg	C:/My%20Web%20Sites/PaginaWeb/tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/css/fonts/helvetica_0-webfont.svg	(from https://tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=2.8.0)
18:15:40	155452/155452	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2025%20Nov%202023%2000:47:27%20GMT	https://tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/css/fonts/helveticaneue-light.eot	C:/My%20Web%20Sites/PaginaWeb/tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/css/fonts/helveticaneue-light.eot	(from https://tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=2.8.0)
18:15:40	61324/61324	---M--	200	added ('OK')	font/woff	date:Sat,%2025%20Nov%202023%2000:47:28%20GMT	https://tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/css/fonts/helveticaneue-light.woff	C:/My%20Web%20Sites/PaginaWeb/tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/css/fonts/helveticaneue-light.woff	(from https://tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=2.8.0)
18:15:40	155452/155452	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2025%20Nov%202023%2000:47:27%20GMT	https://tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/css/fonts/helveticaneue-light.eot?	C:/My%20Web%20Sites/PaginaWeb/tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/css/fonts/helveticaneue-lightd41d.eot	(from https://tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=2.8.0)
18:15:40	155252/155252	---M--	200	added ('OK')	font/ttf	date:Sat,%2025%20Nov%202023%2000:47:28%20GMT	https://tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/css/fonts/helveticaneue-light.ttf	C:/My%20Web%20Sites/PaginaWeb/tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/css/fonts/helveticaneue-light.ttf	(from https://tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=2.8.0)
18:15:41	4272/4272	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Nov%202023%2023:04:07%20GMT	https://tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/images/count_bg.png	C:/My%20Web%20Sites/PaginaWeb/tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/images/count_bg.png	(from https://tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=2.8.0)
18:15:41	11347/11347	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Nov%202023%2023:04:05%20GMT	https://tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/images/check_bg.jpg	C:/My%20Web%20Sites/PaginaWeb/tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/images/check_bg.jpg	(from https://tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=2.8.0)
18:15:41	3441/3441	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Nov%202023%2023:04:22%20GMT	https://tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/images/radio_bg.png	C:/My%20Web%20Sites/PaginaWeb/tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/images/radio_bg.png	(from https://tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=2.8.0)
18:15:41	395993/395993	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Nov%202023%2000:47:27%20GMT	https://tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/css/fonts/helveticaneue-light.svg	C:/My%20Web%20Sites/PaginaWeb/tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/css/fonts/helveticaneue-light.svg	(from https://tuttofreddo.ec/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=2.8.0)
